               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097669,            0.024974,            0.053831,           0.0082868,             0.15101,            0.026625,           0.0081386,            0.079494,            0.016097,            0.042608,            0.070191,           0.0033121,           0.0033121
                   1,            0.064005,            0.023061,            0.032531,             0.47963,              0.2342,             0.26591,            0.099221,            0.051765,            0.012488,             0.02597,            0.040147,           0.0066016,           0.0066016
                   2,            0.056019,            0.020282,            0.022824,             0.25544,             0.48497,             0.30114,             0.10792,            0.050464,            0.012222,            0.018678,            0.010059,            0.009847,            0.009847
                   3,            0.048927,            0.018116,            0.015743,             0.77711,             0.65546,             0.68692,             0.35585,            0.035722,            0.010034,            0.011065,            0.009802,            0.009802,            0.009802
                   4,            0.042442,            0.016669,            0.011608,             0.85156,             0.72038,             0.78174,             0.40415,            0.035249,            0.008879,           0.0086938,            0.009802,            0.009802,            0.009802
                   5,            0.038505,            0.015543,           0.0094237,             0.84207,             0.81801,             0.84765,             0.53074,            0.026509,           0.0082165,           0.0075516,            0.009736,            0.009736,            0.009736
                   6,            0.036281,            0.014775,           0.0081875,             0.88438,             0.82441,             0.87819,             0.55721,            0.026531,           0.0075565,           0.0071771,             0.00967,             0.00967,             0.00967
                   7,            0.034205,            0.014403,           0.0074174,             0.86686,             0.82373,             0.86785,             0.56201,            0.024411,           0.0073166,           0.0062611,            0.009604,            0.009604,            0.009604
                   8,            0.032183,            0.013894,           0.0068731,              0.8758,             0.86662,             0.88056,             0.58216,            0.024282,            0.007004,            0.005196,            0.009538,            0.009538,            0.009538
                   9,            0.031109,            0.013412,           0.0064792,             0.91343,             0.86132,             0.92042,               0.637,            0.021716,           0.0067047,           0.0052653,            0.009472,            0.009472,            0.009472
                  10,            0.030158,            0.013139,           0.0061771,               0.922,             0.87048,             0.92568,             0.62518,            0.022531,           0.0065103,            0.004921,            0.009406,            0.009406,            0.009406
                  11,            0.029285,            0.013001,           0.0057738,             0.91371,             0.87578,             0.92978,             0.66605,            0.020757,           0.0063911,           0.0057367,             0.00934,             0.00934,             0.00934
                  12,            0.027983,             0.01265,           0.0054893,              0.9097,              0.8772,             0.92423,             0.62476,            0.021979,           0.0062323,           0.0051735,            0.009274,            0.009274,            0.009274
                  13,            0.027572,            0.012429,           0.0053756,             0.91034,             0.89498,             0.93885,             0.68984,             0.01951,           0.0061307,           0.0040846,            0.009208,            0.009208,            0.009208
                  14,            0.026532,            0.012056,           0.0051276,             0.92977,             0.90009,             0.94318,               0.674,            0.020137,            0.006078,           0.0039979,            0.009142,            0.009142,            0.009142
                  15,            0.025919,            0.012055,           0.0050342,             0.91084,             0.90533,             0.92796,             0.67216,            0.019154,           0.0059426,           0.0039164,            0.009076,            0.009076,            0.009076
                  16,            0.025547,            0.011706,           0.0048362,              0.9318,              0.9074,              0.9493,             0.71129,            0.017601,           0.0056371,           0.0040358,             0.00901,             0.00901,             0.00901
                  17,            0.025152,            0.011785,            0.004602,             0.93072,             0.91055,              0.9467,             0.71892,            0.017672,           0.0055965,           0.0037945,            0.008944,            0.008944,            0.008944
                  18,            0.024748,            0.011447,           0.0045789,             0.92947,             0.89517,             0.93785,              0.6907,            0.018204,           0.0057959,           0.0044254,            0.008878,            0.008878,            0.008878
                  19,             0.02416,            0.011328,           0.0043808,             0.94267,             0.91144,             0.95276,             0.71737,            0.017472,           0.0054813,            0.003784,            0.008812,            0.008812,            0.008812
                  20,            0.023637,            0.011195,           0.0043254,             0.93391,             0.92387,             0.95041,             0.71815,            0.017401,           0.0054758,            0.003462,            0.008746,            0.008746,            0.008746
                  21,            0.023128,            0.011105,           0.0042867,             0.93701,              0.9204,             0.95241,             0.73333,            0.016545,           0.0053172,           0.0036967,             0.00868,             0.00868,             0.00868
                  22,            0.023037,            0.011078,           0.0041806,             0.93343,             0.91463,             0.95567,             0.72482,            0.016819,            0.005359,           0.0035574,            0.008614,            0.008614,            0.008614
                  23,            0.022559,            0.010916,           0.0041143,             0.94391,             0.92641,             0.95845,             0.73833,            0.016461,           0.0052633,           0.0031871,            0.008548,            0.008548,            0.008548
                  24,            0.022227,            0.010703,           0.0040715,              0.9232,              0.8902,             0.93911,             0.71233,            0.017352,           0.0055545,           0.0046978,            0.008482,            0.008482,            0.008482
                  25,            0.022387,            0.010768,           0.0040302,             0.93778,             0.91024,             0.95315,             0.72808,            0.016638,           0.0052911,           0.0039508,            0.008416,            0.008416,            0.008416
                  26,            0.021678,            0.010549,           0.0038548,             0.92017,             0.90984,             0.94276,             0.72326,            0.016809,           0.0054154,           0.0042472,             0.00835,             0.00835,             0.00835
                  27,            0.021848,            0.010676,           0.0038007,             0.93478,              0.9297,             0.95971,             0.74256,            0.015772,           0.0051714,           0.0031777,            0.008284,            0.008284,            0.008284
                  28,             0.02159,            0.010672,           0.0038423,             0.92873,             0.90259,             0.93816,             0.71987,            0.016636,           0.0053151,           0.0038378,            0.008218,            0.008218,            0.008218
                  29,            0.021478,            0.010578,           0.0037492,             0.92315,             0.87404,             0.93384,              0.7097,             0.01705,           0.0055793,           0.0053896,            0.008152,            0.008152,            0.008152
                  30,            0.020923,            0.010329,           0.0036359,             0.94935,             0.91934,             0.96028,             0.73424,            0.015815,           0.0050345,           0.0031214,            0.008086,            0.008086,            0.008086
                  31,            0.020824,            0.010273,           0.0035788,             0.94132,             0.91938,             0.95783,             0.74105,            0.015537,           0.0050395,           0.0035809,             0.00802,             0.00802,             0.00802
                  32,            0.020488,            0.010103,           0.0037096,             0.94558,             0.92239,             0.96017,             0.75152,            0.014893,           0.0049872,           0.0031161,            0.007954,            0.007954,            0.007954
                  33,            0.020236,            0.010221,           0.0035283,             0.95112,              0.9241,             0.96049,             0.75223,            0.014962,           0.0050069,            0.002813,            0.007888,            0.007888,            0.007888
                  34,            0.020347,            0.010103,           0.0034714,             0.87159,             0.85268,             0.91592,              0.6774,            0.017844,           0.0059555,           0.0046791,            0.007822,            0.007822,            0.007822
                  35,            0.019982,           0.0099969,           0.0035409,             0.92347,             0.89739,             0.94695,             0.72452,            0.015411,           0.0051728,           0.0057513,            0.007756,            0.007756,            0.007756
                  36,            0.019813,           0.0098731,           0.0034828,             0.94794,             0.93151,             0.96185,             0.76314,            0.014615,           0.0049201,           0.0028992,             0.00769,             0.00769,             0.00769
                  37,              0.0195,            0.009695,           0.0034033,             0.95361,             0.93451,             0.96446,              0.7571,            0.014629,           0.0048046,           0.0026826,            0.007624,            0.007624,            0.007624
                  38,            0.019345,           0.0096264,           0.0032904,             0.94699,             0.92923,             0.96148,             0.76071,            0.014226,           0.0047368,           0.0027696,            0.007558,            0.007558,            0.007558
                  39,            0.019454,           0.0097654,           0.0032328,             0.95091,             0.93071,             0.96209,             0.75889,            0.014342,           0.0047175,           0.0028774,            0.007492,            0.007492,            0.007492
