               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10528,            0.019052,             0.05402,           0.0022131,             0.12039,           0.0022426,          0.00058024,             0.10042,            0.010786,            0.047108,            0.070191,           0.0033121,           0.0033121
                   1,            0.076142,            0.018897,            0.035426,             0.65511,             0.16565,             0.17153,            0.063615,            0.065558,           0.0097805,            0.028882,            0.040147,           0.0066016,           0.0066016
                   2,            0.064264,            0.016348,            0.024894,             0.34232,             0.15677,             0.11562,            0.045952,            0.083548,            0.010629,            0.036372,            0.010059,            0.009847,            0.009847
                   3,            0.056263,            0.015219,            0.017963,             0.72504,             0.57997,             0.62187,             0.32745,            0.042576,            0.008439,            0.013525,            0.009802,            0.009802,            0.009802
                   4,            0.050844,            0.014474,            0.013474,             0.62688,             0.65578,             0.64848,             0.32516,            0.043982,           0.0081987,            0.011331,            0.009802,            0.009802,            0.009802
                   5,            0.046838,             0.01372,            0.011199,             0.65945,             0.67464,             0.70233,             0.39531,            0.037734,           0.0076696,            0.011463,            0.009736,            0.009736,            0.009736
                   6,            0.044591,            0.013138,             0.01016,             0.79766,             0.72662,             0.77403,             0.42341,            0.036418,           0.0070078,           0.0085426,             0.00967,             0.00967,             0.00967
                   7,            0.042147,            0.012889,           0.0093024,             0.82081,             0.79122,             0.83208,             0.51637,            0.032124,           0.0066529,           0.0073721,            0.009604,            0.009604,            0.009604
                   8,            0.040082,            0.012454,           0.0087716,             0.80922,             0.78186,              0.8304,             0.51649,            0.032455,           0.0064922,           0.0070431,            0.009538,            0.009538,            0.009538
                   9,            0.038882,            0.012113,           0.0082635,             0.80196,             0.72817,             0.76979,             0.47662,            0.032667,           0.0063433,           0.0071569,            0.009472,            0.009472,            0.009472
                  10,             0.03789,            0.011912,            0.008051,             0.82971,             0.76415,             0.81108,             0.50944,            0.032872,           0.0061776,           0.0062645,            0.009406,            0.009406,            0.009406
                  11,            0.036902,            0.011866,           0.0077323,             0.71768,             0.57612,             0.63395,             0.38701,             0.03852,           0.0073123,            0.011072,             0.00934,             0.00934,             0.00934
                  12,            0.036224,            0.011641,           0.0074008,             0.85867,             0.82693,             0.87367,             0.56724,             0.02892,           0.0058755,           0.0061597,            0.009274,            0.009274,            0.009274
                  13,            0.035156,            0.011357,            0.007103,              0.8315,             0.81348,             0.85772,             0.57138,            0.028203,           0.0059112,           0.0059235,            0.009208,            0.009208,            0.009208
                  14,            0.034362,            0.011105,           0.0069047,             0.79627,             0.76612,             0.81016,             0.53111,            0.029999,           0.0061498,           0.0064813,            0.009142,            0.009142,            0.009142
                  15,            0.033711,             0.01113,           0.0068867,             0.82517,             0.64678,             0.76439,               0.497,            0.033805,           0.0065628,            0.010726,            0.009076,            0.009076,            0.009076
                  16,            0.033422,            0.010902,           0.0067168,             0.87452,             0.85311,             0.89724,             0.60943,            0.025196,            0.005398,           0.0055845,             0.00901,             0.00901,             0.00901
                  17,            0.032888,            0.010933,           0.0064363,             0.87793,             0.85547,             0.89348,              0.6121,            0.024945,           0.0053934,           0.0049587,            0.008944,            0.008944,            0.008944
                  18,            0.032064,            0.010616,           0.0062541,              0.8524,             0.84607,             0.88034,             0.60617,            0.025931,           0.0054217,           0.0057613,            0.008878,            0.008878,            0.008878
                  19,            0.032022,             0.01057,            0.006111,             0.86282,             0.86146,             0.91339,             0.64207,            0.023897,           0.0052532,           0.0051677,            0.008812,            0.008812,            0.008812
                  20,            0.031294,            0.010454,           0.0060483,             0.86487,             0.84288,             0.88464,             0.61826,            0.025156,           0.0054037,           0.0054173,            0.008746,            0.008746,            0.008746
                  21,            0.031083,            0.010424,           0.0059778,             0.83824,             0.77721,             0.86279,             0.60864,            0.025873,           0.0057452,           0.0052507,             0.00868,             0.00868,             0.00868
                  22,            0.030628,            0.010398,           0.0059447,             0.84754,             0.79276,              0.8555,             0.58694,            0.026681,           0.0055497,            0.005265,            0.008614,            0.008614,            0.008614
                  23,            0.030289,            0.010236,           0.0057528,             0.80867,             0.75889,             0.82194,             0.57309,             0.02704,             0.00577,           0.0063136,            0.008548,            0.008548,            0.008548
                  24,             0.03001,            0.010087,           0.0056722,             0.90239,             0.84432,             0.89721,             0.62589,            0.023655,           0.0051759,           0.0047491,            0.008482,            0.008482,            0.008482
                  25,            0.029654,            0.010111,           0.0056812,              0.8598,             0.85525,             0.91175,             0.65533,            0.022781,           0.0050999,           0.0047322,            0.008416,            0.008416,            0.008416
                  26,            0.029377,            0.010043,           0.0055151,             0.87649,              0.8571,             0.90599,             0.64584,             0.02334,           0.0051163,           0.0048714,             0.00835,             0.00835,             0.00835
                  27,            0.029196,            0.010087,           0.0054111,             0.88023,             0.86432,             0.91772,              0.6607,            0.022669,           0.0050565,           0.0045814,            0.008284,            0.008284,            0.008284
                  28,            0.029277,            0.010058,           0.0054246,             0.84916,             0.83107,             0.89389,             0.62478,            0.024402,           0.0052963,           0.0046449,            0.008218,            0.008218,            0.008218
                  29,            0.028632,           0.0099094,           0.0054122,             0.91155,             0.87936,              0.9216,             0.66361,            0.021973,            0.004847,           0.0044324,            0.008152,            0.008152,            0.008152
                  30,            0.028574,           0.0098035,           0.0051863,             0.90969,             0.88247,             0.93053,             0.68426,            0.021558,           0.0047894,           0.0039559,            0.008086,            0.008086,            0.008086
                  31,            0.028217,           0.0097688,           0.0052185,             0.89066,             0.88578,             0.92075,             0.67657,            0.021956,           0.0048574,           0.0042183,             0.00802,             0.00802,             0.00802
                  32,            0.028194,           0.0096694,           0.0052684,             0.91043,             0.88357,             0.92387,             0.67243,            0.021467,           0.0047542,           0.0042401,            0.007954,            0.007954,            0.007954
                  33,            0.027791,           0.0096391,           0.0050211,             0.90343,             0.85973,             0.91071,             0.65436,            0.022799,           0.0050115,           0.0046713,            0.007888,            0.007888,            0.007888
                  34,            0.027829,           0.0096689,           0.0049625,             0.90653,             0.87985,             0.92606,             0.68392,            0.021233,           0.0047212,           0.0040164,            0.007822,            0.007822,            0.007822
                  35,            0.027516,           0.0095157,           0.0051218,             0.89913,             0.86912,             0.90253,             0.65107,            0.022295,           0.0049363,           0.0046441,            0.007756,            0.007756,            0.007756
                  36,            0.027169,            0.009463,           0.0050551,             0.89687,             0.86573,             0.92609,             0.68867,            0.021525,           0.0047759,           0.0039627,             0.00769,             0.00769,             0.00769
                  37,            0.027083,           0.0093575,           0.0049451,             0.90564,             0.87165,             0.93128,             0.69344,            0.020937,           0.0046879,           0.0036347,            0.007624,            0.007624,            0.007624
                  38,            0.026919,           0.0092426,           0.0048178,             0.83312,              0.7459,             0.80942,             0.57757,            0.026709,           0.0057413,           0.0061046,            0.007558,            0.007558,            0.007558
                  39,            0.026792,           0.0093806,           0.0047727,              0.8909,               0.872,             0.91548,             0.67909,            0.021481,           0.0047875,           0.0041139,            0.007492,            0.007492,            0.007492
                  40,            0.026572,           0.0093549,           0.0047775,             0.86731,             0.84286,             0.88869,             0.64298,            0.022691,           0.0050338,            0.004732,            0.007426,            0.007426,            0.007426
                  41,            0.026524,           0.0092324,           0.0046898,              0.9227,             0.89126,             0.92579,             0.68925,            0.020426,           0.0045875,           0.0039094,             0.00736,             0.00736,             0.00736
                  42,            0.026437,           0.0092321,           0.0047315,             0.86727,             0.81063,             0.88327,             0.64107,            0.023414,           0.0052328,           0.0047789,            0.007294,            0.007294,            0.007294
                  43,            0.026348,           0.0092663,           0.0045967,             0.92119,             0.89974,             0.93228,             0.69818,            0.020184,           0.0045667,            0.004098,            0.007228,            0.007228,            0.007228
                  44,            0.026117,           0.0092327,           0.0047935,             0.91429,             0.88851,             0.92745,              0.7079,            0.019703,           0.0046028,           0.0040391,            0.007162,            0.007162,            0.007162
                  45,            0.025973,           0.0091316,           0.0047124,             0.92014,             0.88885,             0.92262,             0.69749,            0.020706,           0.0047364,           0.0041017,            0.007096,            0.007096,            0.007096
                  46,            0.025763,           0.0091313,           0.0045465,             0.89555,              0.8869,             0.92356,             0.70484,             0.01992,           0.0046974,           0.0039508,             0.00703,             0.00703,             0.00703
                  47,            0.025719,           0.0091601,           0.0044331,             0.92924,             0.90055,             0.93441,             0.71303,            0.019638,           0.0045527,           0.0035866,            0.006964,            0.006964,            0.006964
                  48,            0.025467,           0.0090109,           0.0044582,             0.90045,             0.87946,             0.92411,             0.69472,            0.020634,           0.0046818,           0.0040854,            0.006898,            0.006898,            0.006898
                  49,            0.025426,           0.0089752,           0.0045391,             0.93469,             0.89066,             0.93685,             0.71588,            0.019441,           0.0045045,           0.0035713,            0.006832,            0.006832,            0.006832
                  50,            0.025278,           0.0089682,           0.0044431,              0.9199,              0.9006,             0.94187,             0.71773,            0.019524,           0.0045988,           0.0036481,            0.006766,            0.006766,            0.006766
                  51,             0.02495,           0.0088524,            0.004382,             0.90789,             0.90386,              0.9288,             0.70771,            0.019954,           0.0044622,           0.0037052,              0.0067,              0.0067,              0.0067
                  52,            0.024969,           0.0088338,           0.0044824,             0.87702,             0.83529,             0.88083,             0.64517,            0.022421,           0.0050219,           0.0046007,            0.006634,            0.006634,            0.006634
                  53,            0.024909,           0.0088039,            0.004314,             0.90016,             0.88881,             0.93488,             0.71033,            0.019723,           0.0045421,           0.0035602,            0.006568,            0.006568,            0.006568
                  54,            0.024601,           0.0087152,           0.0042695,             0.92559,             0.89919,             0.93465,             0.71053,            0.019225,           0.0044298,            0.003579,            0.006502,            0.006502,            0.006502
                  55,            0.024678,           0.0086826,           0.0042256,             0.92169,             0.89988,             0.94149,             0.72887,             0.01859,           0.0043607,           0.0036887,            0.006436,            0.006436,            0.006436
