               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093323,            0.027408,            0.051978,            0.021619,            0.045956,            0.021615,           0.0076629,            0.074167,            0.016991,            0.040101,            0.070096,           0.0033227,           0.0033227
                   1,            0.060482,            0.024188,            0.030693,             0.58785,             0.35064,             0.34863,             0.14634,            0.047847,            0.012795,            0.023583,            0.040052,           0.0066121,           0.0066121
                   2,            0.052884,            0.020838,            0.020798,             0.75847,             0.52465,             0.55526,             0.25493,            0.040516,            0.011505,            0.015102,            0.009964,           0.0098575,           0.0098575
                   3,            0.046132,            0.018413,            0.014462,              0.8247,             0.69705,             0.75415,             0.39423,            0.035978,           0.0095426,            0.010254,            0.009802,            0.009802,            0.009802
                   4,            0.040472,            0.016991,            0.010696,             0.83333,             0.76627,             0.84737,             0.49425,            0.031888,           0.0085568,           0.0079165,            0.009802,            0.009802,            0.009802
                   5,            0.036834,            0.015881,           0.0087629,              0.8676,             0.83915,             0.87887,             0.53161,            0.026343,           0.0078746,           0.0067454,            0.009736,            0.009736,            0.009736
                   6,            0.034316,            0.015021,           0.0076889,             0.90482,             0.83475,             0.89256,             0.56904,            0.024746,           0.0074295,           0.0062654,             0.00967,             0.00967,             0.00967
                   7,            0.032396,            0.014777,           0.0068849,             0.90566,             0.86945,              0.9205,             0.61732,            0.022991,           0.0072581,           0.0055797,            0.009604,            0.009604,            0.009604
                   8,            0.030774,            0.014211,           0.0063955,             0.92607,             0.87583,             0.93043,             0.66251,            0.021001,           0.0066383,           0.0050774,            0.009538,            0.009538,            0.009538
                   9,            0.029696,            0.013702,           0.0060299,             0.92283,             0.86755,             0.92743,             0.64703,            0.021765,           0.0067049,           0.0053143,            0.009472,            0.009472,            0.009472
                  10,            0.028647,            0.013462,           0.0057354,             0.92794,             0.89614,              0.9469,             0.67405,            0.019886,           0.0063743,            0.004437,            0.009406,            0.009406,            0.009406
                  11,            0.027757,            0.013237,           0.0053265,             0.91958,             0.90807,              0.9486,             0.67893,            0.019728,           0.0060407,           0.0046096,             0.00934,             0.00934,             0.00934
                  12,             0.02682,            0.012928,           0.0051442,              0.9164,             0.91229,             0.94916,              0.6975,            0.018585,           0.0060134,            0.004443,            0.009274,            0.009274,            0.009274
                  13,            0.025674,            0.012673,           0.0050014,             0.91953,             0.88333,             0.93732,             0.68814,             0.01882,           0.0060431,           0.0054853,            0.009208,            0.009208,            0.009208
                  14,            0.024728,            0.012326,           0.0046988,             0.93739,             0.87816,             0.93739,             0.67938,             0.02006,            0.006474,           0.0049159,            0.009142,            0.009142,            0.009142
                  15,            0.024495,            0.012324,           0.0046502,             0.93436,             0.91348,             0.95221,             0.70363,            0.018237,           0.0057099,           0.0035453,            0.009076,            0.009076,            0.009076
                  16,            0.023998,            0.011873,           0.0045058,             0.93901,             0.91306,             0.95408,             0.72627,            0.016461,           0.0055922,             0.00407,             0.00901,             0.00901,             0.00901
                  17,            0.023535,            0.012005,           0.0042711,             0.95036,             0.92665,             0.96088,             0.72996,            0.016418,           0.0054001,           0.0035576,            0.008944,            0.008944,            0.008944
                  18,            0.023232,             0.01165,           0.0042848,             0.94403,              0.9295,             0.95888,             0.74206,            0.015715,            0.005341,           0.0034699,            0.008878,            0.008878,            0.008878
                  19,             0.02248,            0.011485,           0.0040943,              0.9334,              0.9009,             0.94832,              0.7232,            0.016936,           0.0054046,           0.0043021,            0.008812,            0.008812,            0.008812
                  20,            0.022004,            0.011375,           0.0039589,             0.94149,             0.93683,             0.96271,             0.75174,            0.015025,           0.0051213,           0.0033558,            0.008746,            0.008746,            0.008746
                  21,            0.021819,            0.011353,           0.0039651,             0.93645,              0.9309,             0.95987,              0.7561,            0.015281,           0.0051888,           0.0034018,             0.00868,             0.00868,             0.00868
                  22,            0.021682,            0.011248,           0.0038736,             0.94002,             0.92003,             0.95479,              0.7417,            0.015155,           0.0052037,           0.0037969,            0.008614,            0.008614,            0.008614
                  23,            0.021459,            0.011146,           0.0037858,             0.94357,             0.92237,             0.95703,             0.75272,            0.015075,           0.0052374,           0.0035213,            0.008548,            0.008548,            0.008548
                  24,            0.021089,            0.010797,           0.0038277,             0.94515,             0.92217,             0.95832,              0.7588,            0.014544,           0.0050289,           0.0041855,            0.008482,            0.008482,            0.008482
                  25,            0.020874,            0.010806,           0.0036378,             0.94339,             0.92539,              0.9626,             0.76594,            0.014782,           0.0051077,           0.0034768,            0.008416,            0.008416,            0.008416
                  26,            0.020381,              0.0108,           0.0035729,             0.93887,             0.93205,             0.96013,             0.76285,            0.014396,            0.004963,           0.0035519,             0.00835,             0.00835,             0.00835
                  27,            0.019926,            0.010841,           0.0034991,             0.94367,             0.93537,             0.96172,             0.77067,            0.013786,            0.004822,           0.0031488,            0.008284,            0.008284,            0.008284
                  28,            0.020163,            0.010768,            0.003579,             0.89245,             0.83928,             0.90579,              0.7039,            0.015923,           0.0056288,           0.0056478,            0.008218,            0.008218,            0.008218
                  29,            0.019791,             0.01068,           0.0034922,             0.94779,             0.92923,             0.96544,             0.77886,            0.013978,           0.0048347,             0.00318,            0.008152,            0.008152,            0.008152
                  30,            0.019538,            0.010438,           0.0033191,             0.94366,              0.9334,               0.967,             0.78529,            0.013326,           0.0047329,           0.0027694,            0.008086,            0.008086,            0.008086
                  31,             0.01909,            0.010376,           0.0032828,             0.94898,               0.938,             0.96725,             0.78523,            0.013171,           0.0046158,           0.0030023,             0.00802,             0.00802,             0.00802
                  32,            0.019143,             0.01023,           0.0034165,             0.94152,             0.92599,             0.96245,             0.77672,            0.013625,           0.0048064,           0.0035823,            0.007954,            0.007954,            0.007954
                  33,            0.019158,            0.010323,           0.0032709,             0.95217,             0.94624,             0.96966,             0.78914,            0.013375,           0.0046515,           0.0027324,            0.007888,            0.007888,            0.007888
                  34,            0.018623,            0.010132,           0.0032489,             0.94684,             0.93822,             0.96809,             0.77973,            0.013203,           0.0047058,           0.0032317,            0.007822,            0.007822,            0.007822
                  35,            0.018702,            0.010077,           0.0032543,              0.9277,             0.90026,             0.94399,             0.76016,            0.013612,           0.0047525,           0.0046738,            0.007756,            0.007756,            0.007756
                  36,            0.018489,            0.010121,           0.0032554,             0.95365,             0.93399,             0.96823,             0.79127,            0.013034,            0.004523,           0.0026094,             0.00769,             0.00769,             0.00769
                  37,            0.018222,           0.0098148,           0.0031337,             0.95094,             0.94098,             0.96917,             0.79398,            0.013033,           0.0045866,           0.0026105,            0.007624,            0.007624,            0.007624
                  38,              0.0177,            0.009737,            0.003098,             0.95519,             0.93192,             0.96757,              0.8031,             0.01236,           0.0045017,           0.0030772,            0.007558,            0.007558,            0.007558
