               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085329,            0.025792,            0.046559,             0.33319,             0.17988,            0.080887,            0.021688,            0.064797,            0.014902,            0.028755,            0.010288,           0.0099681,           0.0099681
                   1,            0.053927,            0.020988,            0.022599,             0.65244,             0.59097,              0.5818,             0.28822,            0.043233,            0.011559,            0.016887,            0.009934,            0.009934,            0.009934
                   2,            0.044613,            0.018349,            0.015324,                0.83,             0.68923,             0.73692,             0.40851,            0.034253,           0.0094375,            0.011273,            0.009934,            0.009934,            0.009934
                   3,            0.039723,            0.016312,            0.011386,             0.89418,             0.73279,             0.82946,             0.48465,            0.029856,           0.0085073,           0.0087382,            0.009868,            0.009868,            0.009868
                   4,            0.036806,            0.015558,           0.0092102,             0.86948,             0.79908,              0.8564,             0.49616,            0.029845,           0.0078059,           0.0075834,            0.009802,            0.009802,            0.009802
                   5,            0.034157,            0.014879,           0.0078867,             0.89272,              0.8565,             0.90863,             0.56179,            0.028594,           0.0074372,           0.0062207,            0.009736,            0.009736,            0.009736
                   6,            0.032741,            0.014259,           0.0072422,             0.91906,             0.86528,             0.91246,             0.60167,            0.024204,           0.0069764,           0.0055513,             0.00967,             0.00967,             0.00967
                   7,             0.03114,            0.014114,           0.0066804,             0.89786,             0.86178,             0.90952,             0.58764,            0.024364,           0.0068499,            0.005364,            0.009604,            0.009604,            0.009604
                   8,             0.02972,            0.013619,           0.0062204,             0.90246,             0.87296,             0.91979,             0.62332,             0.02301,           0.0065733,           0.0049153,            0.009538,            0.009538,            0.009538
                   9,            0.028925,            0.013177,           0.0059764,             0.92395,             0.87204,             0.92834,             0.62846,            0.022242,           0.0064645,           0.0053645,            0.009472,            0.009472,            0.009472
                  10,            0.028166,            0.012904,           0.0057675,             0.92791,             0.90884,             0.94879,             0.67534,            0.019475,           0.0060825,           0.0041143,            0.009406,            0.009406,            0.009406
                  11,            0.027226,            0.012919,           0.0053264,             0.90784,             0.87962,             0.92528,             0.65136,            0.020809,           0.0063387,           0.0054646,             0.00934,             0.00934,             0.00934
                  12,            0.026554,             0.01251,           0.0051608,             0.93006,               0.895,             0.94712,             0.68781,             0.01903,           0.0059865,           0.0043627,            0.009274,            0.009274,            0.009274
                  13,            0.025791,            0.012373,           0.0050949,             0.92445,             0.90988,             0.94909,             0.69722,            0.018341,            0.005831,           0.0038908,            0.009208,            0.009208,            0.009208
                  14,            0.025289,            0.012022,           0.0048001,              0.9336,             0.91221,             0.95033,             0.70206,            0.018353,            0.005784,           0.0038057,            0.009142,            0.009142,            0.009142
                  15,            0.024691,            0.012002,           0.0047651,             0.92152,             0.88211,             0.94237,             0.68939,            0.018786,           0.0059424,           0.0043353,            0.009076,            0.009076,            0.009076
                  16,            0.023938,            0.011598,           0.0045936,             0.94699,             0.92108,              0.9572,              0.7144,            0.016947,           0.0054398,           0.0035336,             0.00901,             0.00901,             0.00901
                  17,            0.023701,            0.011729,            0.004412,             0.94059,             0.91424,              0.9537,             0.70043,            0.017695,           0.0054534,            0.003649,            0.008944,            0.008944,            0.008944
                  18,            0.023571,            0.011387,           0.0044403,             0.94556,             0.92779,             0.96163,             0.71764,            0.016098,           0.0052449,           0.0031613,            0.008878,            0.008878,            0.008878
                  19,            0.022975,            0.011355,           0.0042248,             0.94364,             0.92596,             0.95903,             0.74037,            0.016027,           0.0052174,           0.0032428,            0.008812,            0.008812,            0.008812
                  20,            0.022446,            0.011151,           0.0040301,             0.95214,             0.92576,             0.96387,             0.73927,            0.016343,           0.0052065,           0.0033533,            0.008746,            0.008746,            0.008746
                  21,            0.022283,              0.0111,           0.0040187,             0.94752,             0.91616,             0.95984,             0.71968,            0.015953,           0.0051867,           0.0031374,             0.00868,             0.00868,             0.00868
                  22,             0.02209,            0.011075,           0.0040522,             0.94116,             0.91511,             0.95994,             0.73974,            0.015521,           0.0052621,            0.003384,            0.008614,            0.008614,            0.008614
                  23,            0.021637,             0.01096,              0.0039,             0.94508,             0.91965,             0.95893,             0.74558,            0.015484,           0.0051789,           0.0038647,            0.008548,            0.008548,            0.008548
                  24,            0.021372,            0.010657,            0.003952,              0.9511,              0.9338,             0.96505,             0.74991,            0.015138,           0.0049309,           0.0029785,            0.008482,            0.008482,            0.008482
                  25,            0.020915,             0.01066,           0.0037943,             0.93273,             0.91819,             0.95281,             0.73417,            0.016062,           0.0051529,           0.0042638,            0.008416,            0.008416,            0.008416
                  26,            0.020844,            0.010599,           0.0037355,              0.9271,             0.89472,             0.94393,             0.72485,            0.015713,           0.0053322,           0.0043127,             0.00835,             0.00835,             0.00835
                  27,            0.020633,            0.010648,            0.003614,              0.9343,             0.93852,             0.96054,             0.75173,            0.014886,           0.0048637,           0.0031789,            0.008284,            0.008284,            0.008284
                  28,            0.020307,            0.010621,           0.0036587,              0.9053,             0.91983,             0.94263,             0.73285,             0.01528,           0.0051351,           0.0040557,            0.008218,            0.008218,            0.008218
                  29,            0.020273,            0.010612,           0.0035982,             0.95694,             0.93867,             0.96782,             0.76141,            0.014299,           0.0047546,           0.0027366,            0.008152,            0.008152,            0.008152
                  30,            0.020056,            0.010285,           0.0034798,             0.95334,             0.93683,             0.96708,             0.77503,            0.013851,           0.0046523,           0.0030818,            0.008086,            0.008086,            0.008086
                  31,            0.019775,            0.010261,           0.0034366,             0.95014,             0.94236,             0.96678,             0.77309,            0.013867,           0.0048439,           0.0027846,             0.00802,             0.00802,             0.00802
                  32,            0.019518,            0.010125,           0.0034519,             0.95406,             0.94048,             0.97118,             0.77963,            0.013803,           0.0046956,           0.0027864,            0.007954,            0.007954,            0.007954
                  33,            0.019259,            0.010177,           0.0033621,              0.9511,             0.93469,             0.96681,             0.76866,            0.014248,           0.0047636,           0.0028827,            0.007888,            0.007888,            0.007888
                  34,             0.01887,            0.010013,           0.0033391,              0.9515,             0.93052,             0.96524,             0.77838,            0.013334,           0.0046504,           0.0030948,            0.007822,            0.007822,            0.007822
                  35,            0.019271,           0.0099797,           0.0033899,             0.95972,             0.93008,             0.96552,             0.76216,            0.013962,           0.0047051,           0.0029937,            0.007756,            0.007756,            0.007756
                  36,             0.01882,           0.0099944,           0.0033617,             0.95667,              0.9396,              0.9701,             0.78183,            0.013601,           0.0046233,           0.0026639,             0.00769,             0.00769,             0.00769
                  37,            0.018624,           0.0097648,           0.0032254,             0.94095,             0.93856,             0.96354,             0.76167,            0.013996,           0.0047512,           0.0031512,            0.007624,            0.007624,            0.007624
                  38,            0.018571,           0.0096757,           0.0032212,             0.95424,             0.93632,             0.96887,             0.77208,            0.013432,           0.0046134,           0.0027829,            0.007558,            0.007558,            0.007558
                  39,            0.018633,           0.0097542,           0.0032002,             0.94863,             0.92945,              0.9618,             0.77712,             0.01322,            0.004608,            0.003076,            0.007492,            0.007492,            0.007492
                  40,            0.018118,           0.0096891,           0.0031378,             0.95366,             0.94619,             0.97182,             0.78205,            0.013337,           0.0046084,           0.0025984,            0.007426,            0.007426,            0.007426
                  41,            0.018033,           0.0096238,           0.0031167,             0.94858,             0.93592,             0.96404,             0.77625,            0.013245,           0.0045632,            0.002824,             0.00736,             0.00736,             0.00736
                  42,            0.017974,           0.0095664,           0.0031154,             0.95882,             0.94935,             0.97256,             0.78964,            0.012857,           0.0044107,           0.0025477,            0.007294,            0.007294,            0.007294
                  43,            0.017782,           0.0095812,           0.0030352,             0.95883,             0.94534,             0.97117,             0.78943,            0.012672,           0.0044386,           0.0025355,            0.007228,            0.007228,            0.007228
                  44,            0.017556,           0.0096004,            0.003159,             0.95801,             0.93895,             0.97213,             0.79679,            0.012598,           0.0043786,           0.0027646,            0.007162,            0.007162,            0.007162
                  45,             0.01753,            0.009441,           0.0031151,             0.95168,             0.94677,             0.97305,             0.78743,            0.012629,           0.0044095,           0.0024806,            0.007096,            0.007096,            0.007096
                  46,            0.017538,            0.009524,           0.0030096,             0.95064,             0.93644,             0.96622,             0.78253,            0.013243,           0.0046824,           0.0030405,             0.00703,             0.00703,             0.00703
                  47,            0.017344,           0.0094688,           0.0028566,             0.95197,             0.94624,             0.97047,             0.79183,            0.012512,           0.0044152,           0.0024356,            0.006964,            0.006964,            0.006964
                  48,            0.017413,           0.0092992,           0.0029114,             0.96438,              0.9365,             0.97141,             0.79251,            0.012669,           0.0044052,           0.0028666,            0.006898,            0.006898,            0.006898
