               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093762,            0.028735,            0.058352,            0.001761,             0.10087,            0.016514,           0.0052018,            0.076458,             0.01936,            0.049518,            0.070191,           0.0033121,           0.0033121
                   1,            0.059697,            0.027827,            0.036996,             0.16793,             0.23026,               0.208,            0.084359,             0.04971,            0.015278,            0.031486,            0.040147,           0.0066016,           0.0066016
                   2,            0.053128,            0.022783,            0.026405,             0.44154,             0.45829,             0.37663,             0.16917,            0.044371,            0.013354,            0.022428,            0.010059,            0.009847,            0.009847
                   3,            0.045601,            0.019576,             0.01775,             0.83705,             0.60484,             0.72343,             0.39577,            0.034038,            0.010764,            0.013942,            0.009802,            0.009802,            0.009802
                   4,             0.03946,            0.017733,            0.012465,             0.74627,             0.74495,             0.81151,             0.42497,            0.034741,           0.0093408,            0.011139,            0.009802,            0.009802,            0.009802
                   5,            0.035701,             0.01649,           0.0096336,              0.8297,             0.81664,             0.87662,             0.54972,            0.025347,           0.0087365,           0.0087596,            0.009736,            0.009736,            0.009736
                   6,            0.033115,            0.015599,           0.0082391,             0.87341,             0.84674,             0.90045,             0.54841,            0.025933,           0.0084048,           0.0075827,             0.00967,             0.00967,             0.00967
                   7,            0.031173,            0.015191,           0.0072657,             0.90554,             0.85278,             0.91644,              0.6195,            0.022943,           0.0079691,           0.0080539,            0.009604,            0.009604,            0.009604
                   8,            0.029525,            0.014628,           0.0067223,              0.9085,             0.86947,             0.92557,             0.64438,            0.020697,           0.0073204,           0.0058375,            0.009538,            0.009538,            0.009538
                   9,            0.028425,            0.014088,           0.0062797,             0.91872,             0.88971,             0.94306,             0.65486,            0.019829,           0.0070086,           0.0053151,            0.009472,            0.009472,            0.009472
                  10,            0.027296,            0.013853,           0.0058906,             0.83674,             0.73104,             0.79154,             0.52237,            0.026839,            0.008896,            0.011123,            0.009406,            0.009406,            0.009406
                  11,             0.02669,            0.013617,           0.0055434,             0.91521,             0.90604,             0.94762,             0.69165,            0.018388,           0.0067124,            0.004932,             0.00934,             0.00934,             0.00934
