               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.081902,0.069112,0.025995,0.63689,0.40952,0.43067,0.07949,0.056241,0.036701,0.015033,0.0033181,0.0033181,0.070137
1,0.058168,0.056351,0.012438,0.64738,0.4661,0.46489,0.17169,0.065501,0.049347,0.012982,0.0066075,0.0066075,0.040093
2,0.050209,0.053203,0.0092198,0.77834,0.5706,0.64149,0.32851,0.045952,0.041882,0.0095738,0.009853,0.009853,0.010005
3,0.042426,0.049736,0.0073291,0.85262,0.71662,0.78274,0.51129,0.035524,0.030587,0.006985,0.009802,0.009802,0.009802
4,0.038107,0.046257,0.0062952,0.82324,0.74107,0.78933,0.52576,0.033691,0.029554,0.0065415,0.009802,0.009802,0.009802
5,0.036122,0.04511,0.0057812,0.88151,0.79673,0.86567,0.63474,0.030555,0.026316,0.0059956,0.009736,0.009736,0.009736
6,0.034341,0.043569,0.0053214,0.93976,0.84823,0.90691,0.68761,0.026876,0.025741,0.0048474,0.00967,0.00967,0.00967
7,0.03357,0.043041,0.0051536,0.89581,0.85622,0.89426,0.66113,0.027029,0.02484,0.0042726,0.009604,0.009604,0.009604
8,0.032199,0.041582,0.0049072,0.86302,0.77386,0.83869,0.69239,0.029559,0.027581,0.0052961,0.009538,0.009538,0.009538
9,0.031436,0.040815,0.0046333,0.92874,0.89083,0.9269,0.73636,0.022981,0.020638,0.0034168,0.009472,0.009472,0.009472
10,0.03041,0.039472,0.0045262,0.94823,0.90009,0.93572,0.76867,0.021175,0.01909,0.0032289,0.009406,0.009406,0.009406
11,0.030046,0.039683,0.0045294,0.89786,0.80902,0.87641,0.74398,0.026123,0.024879,0.0043924,0.00934,0.00934,0.00934
12,0.029418,0.038898,0.0043064,0.63723,0.42202,0.47241,0.75382,0.055583,0.051348,0.014391,0.009274,0.009274,0.009274
13,0.029094,0.038426,0.0043063,0.95933,0.90023,0.94248,0.78227,0.020262,0.018757,0.0030476,0.009208,0.009208,0.009208
14,0.028972,0.037947,0.0042167,0.95113,0.87557,0.9337,0.75932,0.021935,0.020454,0.0034162,0.009142,0.009142,0.009142
15,0.02832,0.037466,0.0040918,0.67781,0.58367,0.61393,0.76984,0.041346,0.045427,0.0084534,0.009076,0.009076,0.009076
16,0.028127,0.037425,0.0040041,0.906,0.86945,0.92361,0.77013,0.026459,0.024489,0.0035717,0.00901,0.00901,0.00901
17,0.027697,0.037283,0.0039802,0.91377,0.89413,0.93353,0.76659,0.02172,0.020326,0.0036332,0.008944,0.008944,0.008944
18,0.027546,0.03693,0.0039326,0.80125,0.70579,0.76854,0.77984,0.037158,0.045257,0.0061286,0.008878,0.008878,0.008878
19,0.027167,0.036366,0.0037552,0.89719,0.82903,0.89545,0.73173,0.024955,0.025185,0.003968,0.008812,0.008812,0.008812
20,0.026959,0.035691,0.0037159,0.96249,0.90666,0.94699,0.80004,0.019304,0.018248,0.0028828,0.008746,0.008746,0.008746
21,0.027083,0.036052,0.0037134,0.91479,0.84691,0.91431,0.77808,0.021966,0.022354,0.0041234,0.00868,0.00868,0.00868
22,0.026403,0.035109,0.0037157,0.95791,0.90618,0.94867,0.80851,0.018782,0.018035,0.0024698,0.008614,0.008614,0.008614
23,0.026181,0.035296,0.0035913,0.9162,0.87065,0.91427,0.79015,0.021032,0.019907,0.0035433,0.008548,0.008548,0.008548
