               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10457,            0.018195,            0.053407,           0.0014026,             0.15555,           0.0014113,          0.00038471,            0.092877,            0.016464,            0.052156,              0.0721,              0.0031,              0.0031
                   1,            0.095701,            0.021071,            0.051553,          0.00088113,             0.16772,           0.0023398,          0.00052796,            0.090232,            0.017238,            0.051164,            0.043238,           0.0062376,           0.0062376
                   2,            0.083448,            0.024486,            0.047601,           0.0010373,             0.17406,           0.0057707,           0.0014156,            0.084478,            0.018233,            0.047415,            0.014312,           0.0093119,           0.0093119
                   3,            0.071035,            0.025251,            0.039295,             0.74265,             0.10078,              0.1044,            0.031405,            0.065945,            0.026101,            0.035771,            0.009703,            0.009703,            0.009703
                   4,            0.062435,            0.022971,            0.031585,             0.20506,             0.39018,             0.17896,            0.056767,            0.058985,            0.020244,            0.026159,            0.009703,            0.009703,            0.009703
                   5,            0.059497,            0.020442,            0.023264,             0.34815,             0.53622,             0.47946,             0.20002,            0.054953,            0.015787,            0.017234,            0.009604,            0.009604,            0.009604
                   6,            0.057356,            0.018108,            0.015834,             0.67558,             0.62596,             0.66973,             0.24085,            0.052108,            0.014208,            0.012711,            0.009505,            0.009505,            0.009505
                   7,            0.054446,            0.017084,            0.012916,             0.78747,             0.69271,             0.74125,             0.31103,             0.04995,            0.013671,            0.010172,            0.009406,            0.009406,            0.009406
                   8,            0.051504,            0.016364,            0.011093,             0.74832,             0.71751,             0.77125,             0.37477,             0.04375,            0.012633,           0.0087439,            0.009307,            0.009307,            0.009307
                   9,            0.050323,            0.015335,           0.0098177,             0.78384,             0.78158,              0.8093,             0.37889,            0.044255,             0.01244,           0.0078528,            0.009208,            0.009208,            0.009208
                  10,            0.048142,            0.015394,           0.0087159,             0.87707,             0.78452,             0.86239,             0.46833,            0.039113,            0.012042,           0.0072868,            0.009109,            0.009109,            0.009109
                  11,            0.046424,            0.014775,           0.0081213,             0.88628,             0.80617,             0.87013,             0.45757,            0.039453,            0.011314,           0.0069785,             0.00901,             0.00901,             0.00901
                  12,             0.04496,             0.01442,           0.0076698,             0.92188,             0.77792,             0.87855,             0.49518,            0.038127,            0.010949,           0.0066254,            0.008911,            0.008911,            0.008911
                  13,            0.044271,             0.01397,           0.0073673,             0.88838,             0.83294,             0.88398,             0.49222,             0.03876,            0.010778,           0.0062148,            0.008812,            0.008812,            0.008812
                  14,            0.043213,            0.013532,           0.0071527,             0.91127,             0.83506,             0.90143,             0.52977,            0.037201,            0.010153,           0.0061525,            0.008713,            0.008713,            0.008713
                  15,            0.041951,            0.013307,           0.0068243,             0.92912,             0.83991,             0.90893,             0.55472,            0.034469,           0.0097773,           0.0060619,            0.008614,            0.008614,            0.008614
                  16,            0.040811,            0.012915,            0.006464,             0.91937,             0.83375,             0.89658,             0.54233,             0.03569,           0.0097189,           0.0060844,            0.008515,            0.008515,            0.008515
                  17,            0.041181,            0.012543,           0.0064944,             0.93592,             0.83571,             0.90448,             0.54416,             0.03372,           0.0096535,           0.0060241,            0.008416,            0.008416,            0.008416
                  18,            0.039745,            0.012137,           0.0061037,             0.92526,             0.85961,              0.9164,             0.56631,            0.034741,           0.0094663,           0.0055433,            0.008317,            0.008317,            0.008317
                  19,            0.039303,            0.011969,           0.0059956,             0.92315,             0.86804,             0.91435,             0.57014,            0.032332,           0.0090183,           0.0054447,            0.008218,            0.008218,            0.008218
                  20,            0.038505,            0.012061,           0.0056283,             0.92435,             0.86146,              0.9133,             0.57124,            0.032043,           0.0090807,           0.0055275,            0.008119,            0.008119,            0.008119
                  21,            0.038011,            0.011708,            0.005817,              0.9083,             0.87535,             0.91785,             0.58806,            0.031019,           0.0090347,           0.0052819,             0.00802,             0.00802,             0.00802
                  22,            0.037596,             0.01171,           0.0056137,             0.91544,             0.88325,             0.92512,             0.59689,            0.030647,           0.0085789,           0.0051266,            0.007921,            0.007921,            0.007921
                  23,            0.036655,            0.010999,            0.005253,             0.89791,             0.87221,             0.91471,             0.59324,            0.030145,            0.008521,            0.004864,            0.007822,            0.007822,            0.007822
                  24,            0.036342,            0.011008,           0.0053631,             0.92547,             0.88941,             0.92579,             0.60651,            0.029799,           0.0084468,           0.0050803,            0.007723,            0.007723,            0.007723
                  25,            0.035604,            0.011007,           0.0052235,             0.93077,             0.88105,             0.93331,             0.60131,            0.030311,           0.0084134,             0.00475,            0.007624,            0.007624,            0.007624
                  26,            0.035608,            0.010793,           0.0049648,             0.94712,             0.90966,             0.93818,             0.61605,            0.030101,           0.0082019,           0.0049532,            0.007525,            0.007525,            0.007525
                  27,             0.03502,            0.010539,           0.0051002,             0.94187,             0.91042,             0.93786,             0.60161,            0.029415,           0.0079993,           0.0047045,            0.007426,            0.007426,            0.007426
                  28,            0.034758,            0.010192,           0.0049711,             0.92438,             0.90108,             0.92918,             0.59804,            0.030045,           0.0080317,           0.0047021,            0.007327,            0.007327,            0.007327
                  29,            0.034409,            0.010569,           0.0049945,             0.93066,             0.90746,             0.93621,             0.61486,            0.028224,           0.0077795,           0.0047456,            0.007228,            0.007228,            0.007228
                  30,            0.033686,             0.01086,           0.0049045,              0.9397,             0.90895,             0.94245,             0.61752,            0.028592,           0.0079483,            0.004542,            0.007129,            0.007129,            0.007129
                  31,            0.032655,            0.010206,           0.0049564,             0.93829,              0.9049,             0.93907,             0.61128,            0.028608,           0.0076948,           0.0046814,             0.00703,             0.00703,             0.00703
                  32,            0.033086,           0.0099588,           0.0049914,             0.93348,             0.91382,              0.9339,             0.61227,            0.029406,           0.0076902,             0.00445,            0.006931,            0.006931,            0.006931
                  33,            0.032607,            0.010057,           0.0045431,             0.93531,             0.91093,             0.94196,             0.64322,            0.027155,           0.0074714,           0.0042107,            0.006832,            0.006832,            0.006832
                  34,            0.031902,            0.010248,           0.0047462,             0.95326,             0.90966,             0.94507,             0.63473,            0.027535,           0.0074889,           0.0042635,            0.006733,            0.006733,            0.006733
                  35,            0.031332,           0.0097362,           0.0045012,             0.95135,             0.91738,             0.94888,              0.6286,            0.028008,           0.0073738,           0.0043474,            0.006634,            0.006634,            0.006634
                  36,            0.031816,           0.0099001,           0.0042807,             0.92751,             0.93417,             0.94613,             0.64223,            0.027073,           0.0072536,           0.0040777,            0.006535,            0.006535,            0.006535
                  37,            0.030991,           0.0098308,           0.0043651,             0.93802,             0.91257,              0.9451,             0.62752,             0.02821,           0.0072632,           0.0041865,            0.006436,            0.006436,            0.006436
                  38,            0.031263,           0.0098585,            0.004364,             0.96033,             0.90497,             0.95236,             0.63316,            0.027422,           0.0072495,            0.004098,            0.006337,            0.006337,            0.006337
                  39,             0.03012,           0.0095833,            0.004236,             0.93046,             0.93133,             0.94848,             0.63764,            0.027327,           0.0071317,           0.0040977,            0.006238,            0.006238,            0.006238
                  40,            0.030673,           0.0096035,           0.0041922,             0.95081,             0.92856,             0.95554,             0.65284,            0.025987,           0.0069861,           0.0039432,            0.006139,            0.006139,            0.006139
                  41,            0.030264,           0.0093178,           0.0042214,             0.96673,               0.913,             0.95179,             0.63704,             0.02693,           0.0070405,           0.0039392,             0.00604,             0.00604,             0.00604
